Date,Strain,Technical Replicate,Titer,Average,SD,BioRepAverage,BioRepSD
2/8/2023,LZ22208,1,165,161,19.3132079,161,19.3132079
2/8/2023,LZ22208,2,140,161,19.3132079,161,19.3132079
2/8/2023,LZ22208,3,178,161,19.3132079,161,19.3132079
2/8/2023,LZ22209,1,158,155,33.6005952,155,33.6005952
2/8/2023,LZ22209,2,120,155,33.6005952,155,33.6005952
2/8/2023,LZ22209,3,187,155,33.6005952,155,33.6005952
2/8/2023,LZ22221,1,92,83.3333333,8.08290377,83.3333333,8.08290377
2/8/2023,LZ22221,2,82,83.3333333,8.08290377,83.3333333,8.08290377
2/8/2023,LZ22221,3,76,83.3333333,8.08290377,83.3333333,8.08290377
...
